
 [2026-02-02 15:04:09] iteration        2/   20000 | consumed samples:           16 | elapsed time per iteration (ms): 176087.0 | throughput per GPU (TFLOP/s/GPU): 56.9 | learning rate: 8.333333E-08 | global batch size:     8 | lm loss: 1.188148E+01 | loss scale: 1.0 | grad norm: 85.848 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:07:04] iteration        3/   20000 | consumed samples:           24 | elapsed time per iteration (ms): 175507.5 | throughput per GPU (TFLOP/s/GPU): 57.1 | learning rate: 1.250000E-07 | global batch size:     8 | lm loss: 1.188224E+01 | loss scale: 1.0 | grad norm: 84.647 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:10:00] iteration        4/   20000 | consumed samples:           32 | elapsed time per iteration (ms): 175318.6 | throughput per GPU (TFLOP/s/GPU): 57.1 | learning rate: 1.666667E-07 | global batch size:     8 | lm loss: 1.187557E+01 | loss scale: 1.0 | grad norm: 88.655 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:12:54] iteration        5/   20000 | consumed samples:           40 | elapsed time per iteration (ms): 174145.1 | throughput per GPU (TFLOP/s/GPU): 57.5 | learning rate: 2.083333E-07 | global batch size:     8 | lm loss: 1.185259E+01 | loss scale: 1.0 | grad norm: 86.905 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:15:48] iteration        6/   20000 | consumed samples:           48 | elapsed time per iteration (ms): 174285.5 | throughput per GPU (TFLOP/s/GPU): 57.5 | learning rate: 2.500000E-07 | global batch size:     8 | lm loss: 1.184552E+01 | loss scale: 1.0 | grad norm: 85.843 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:18:41] iteration        7/   20000 | consumed samples:           56 | elapsed time per iteration (ms): 173549.9 | throughput per GPU (TFLOP/s/GPU): 57.7 | learning rate: 2.916667E-07 | global batch size:     8 | lm loss: 1.176649E+01 | loss scale: 1.0 | grad norm: 83.430 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:21:36] iteration        8/   20000 | consumed samples:           64 | elapsed time per iteration (ms): 174731.1 | throughput per GPU (TFLOP/s/GPU): 57.3 | learning rate: 3.333333E-07 | global batch size:     8 | lm loss: 1.172720E+01 | loss scale: 1.0 | grad norm: 82.721 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:24:30] iteration        9/   20000 | consumed samples:           72 | elapsed time per iteration (ms): 173809.0 | throughput per GPU (TFLOP/s/GPU): 57.6 | learning rate: 3.750000E-07 | global batch size:     8 | lm loss: 1.148148E+01 | loss scale: 1.0 | grad norm: 67.283 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:27:25] iteration       10/   20000 | consumed samples:           80 | elapsed time per iteration (ms): 174498.3 | throughput per GPU (TFLOP/s/GPU): 57.4 | learning rate: 4.166667E-07 | global batch size:     8 | lm loss: 1.139192E+01 | loss scale: 1.0 | grad norm: 67.511 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:30:17] iteration       11/   20000 | consumed samples:           88 | elapsed time per iteration (ms): 172545.9 | throughput per GPU (TFLOP/s/GPU): 58.0 | learning rate: 4.583333E-07 | global batch size:     8 | lm loss: 1.135302E+01 | loss scale: 1.0 | grad norm: 63.767 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:33:12] iteration       12/   20000 | consumed samples:           96 | elapsed time per iteration (ms): 174895.9 | throughput per GPU (TFLOP/s/GPU): 57.3 | learning rate: 5.000000E-07 | global batch size:     8 | lm loss: 1.098669E+01 | loss scale: 1.0 | grad norm: 49.830 | number of skipped iterations:   0 | number of nan iterations:   0 |
