 [2026-02-02 14:42:11] iteration        2/   20000 | consumed samples:           16 | elapsed time per iteration (ms): 335566.6 | throughput per GPU (TFLOP/s/GPU): 29.8 | learning rate: 8.333333E-08 | global batch size:     8 | lm loss: 1.188156E+01 | loss scale: 1.0 | grad norm: 85.695 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 14:47:47] iteration        3/   20000 | consumed samples:           24 | elapsed time per iteration (ms): 335695.6 | throughput per GPU (TFLOP/s/GPU): 29.8 | learning rate: 1.250000E-07 | global batch size:     8 | lm loss: 1.188237E+01 | loss scale: 1.0 | grad norm: 84.644 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 14:54:18] iteration        4/   20000 | consumed samples:           32 | elapsed time per iteration (ms): 390719.0 | throughput per GPU (TFLOP/s/GPU): 25.6 | learning rate: 1.666667E-07 | global batch size:     8 | lm loss: 1.187551E+01 | loss scale: 1.0 | grad norm: 88.643 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:01:01] iteration        5/   20000 | consumed samples:           40 | elapsed time per iteration (ms): 403066.9 | throughput per GPU (TFLOP/s/GPU): 24.8 | learning rate: 2.083333E-07 | global batch size:     8 | lm loss: 1.185260E+01 | loss scale: 1.0 | grad norm: 86.913 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:06:36] iteration        6/   20000 | consumed samples:           48 | elapsed time per iteration (ms): 335611.1 | throughput per GPU (TFLOP/s/GPU): 29.8 | learning rate: 2.500000E-07 | global batch size:     8 | lm loss: 1.184526E+01 | loss scale: 1.0 | grad norm: 85.875 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:12:12] iteration        7/   20000 | consumed samples:           56 | elapsed time per iteration (ms): 335408.6 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.916667E-07 | global batch size:     8 | lm loss: 1.176630E+01 | loss scale: 1.0 | grad norm: 83.545 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:17:47] iteration        8/   20000 | consumed samples:           64 | elapsed time per iteration (ms): 335262.8 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 3.333333E-07 | global batch size:     8 | lm loss: 1.172772E+01 | loss scale: 1.0 | grad norm: 82.790 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:23:22] iteration        9/   20000 | consumed samples:           72 | elapsed time per iteration (ms): 335118.5 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 3.750000E-07 | global batch size:     8 | lm loss: 1.148170E+01 | loss scale: 1.0 | grad norm: 67.303 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:28:57] iteration       10/   20000 | consumed samples:           80 | elapsed time per iteration (ms): 335352.6 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 4.166667E-07 | global batch size:     8 | lm loss: 1.139182E+01 | loss scale: 1.0 | grad norm: 67.518 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:34:33] iteration       11/   20000 | consumed samples:           88 | elapsed time per iteration (ms): 335296.1 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 4.583333E-07 | global batch size:     8 | lm loss: 1.135281E+01 | loss scale: 1.0 | grad norm: 63.779 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:40:09] iteration       12/   20000 | consumed samples:           96 | elapsed time per iteration (ms): 336081.4 | throughput per GPU (TFLOP/s/GPU): 29.8 | learning rate: 5.000000E-07 | global batch size:     8 | lm loss: 1.098697E+01 | loss scale: 1.0 | grad norm: 49.851 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:46:10] iteration       13/   20000 | consumed samples:          104 | elapsed time per iteration (ms): 361521.3 | throughput per GPU (TFLOP/s/GPU): 27.7 | learning rate: 5.416667E-07 | global batch size:     8 | lm loss: 1.093037E+01 | loss scale: 1.0 | grad norm: 48.191 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:51:46] iteration       14/   20000 | consumed samples:          112 | elapsed time per iteration (ms): 335324.0 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 5.833334E-07 | global batch size:     8 | lm loss: 1.080372E+01 | loss scale: 1.0 | grad norm: 43.846 | number of skipped iterations:   0 | number of nan iterations:   0 |
